model,model_image_url
Shine On 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Shine_On_1.tgs
Dream Big 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Dream_Big_1.tgs
Pinky Dream 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pinky_Dream_1.tgs
Sugar Party 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sugar_Party_1.tgs
Final Boss 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Final_Boss_0.tgs
Eggcellent 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Eggcellent_0.tgs
Cheers 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Cheers_1.tgs
Starry Night 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Starry_Night_1.tgs
Stay Cool 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Stay_Cool_0.tgs
Red Ribbon 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Red_Ribbon_0.tgs
Happy Meows 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Happy_Meows_0.tgs
Rose Mint 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Rose_Mint_1.tgs
Pop Art 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pop_Art_1.tgs
Cherrific 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Cherrific_0.tgs
Poltergeist 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Poltergeist_1.tgs
Jage Crystal 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Jage_Crystal_1.tgs
Party Hard 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Party_Hard_0.tgs
Shocker 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Shocker_0.tgs
Small Gifts 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Small_Gifts_0.tgs
Festive Day 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Festive_Day_0.tgs
Winter Fun 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Winter_Fun_0.tgs
On Fire 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/On_Fire_0.tgs
Melted Butter 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Melted_Butter_0.tgs
Pixel Wish 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pixel_Wish_0.tgs
White Cocoa 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/White_Cocoa_2.tgs
Natural 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Natural_1.tgs
Alpha 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Alpha_1.tgs
Baubles 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Baubles_2.tgs
Atmosphere 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Atmosphere_1.tgs
Frosty Icing 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Frosty_Icing_1.tgs
Pointilism 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pointilism_2.tgs
Zomberry 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Zomberry_1.tgs
Rawberry 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Rawberry_1.tgs
Sweet Game 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sweet_Game_1.tgs
Paparazzi 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Paparazzi_2.tgs
Infrared 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Infrared_1.tgs
RGBerry 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/RGBerry_2.tgs
Eiffel 95 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Eiffel_95_2.tgs
Magenta 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Magenta_2.tgs
Manga 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Manga_2.tgs
Golden Dip 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Golden_Dip_2.tgs
Nature Box 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Nature_Box_1.tgs
Wedded 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Wedded_1.tgs
Kawaii 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Kawaii_1.tgs
Comic Book 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Comic_Book_1.tgs
