name,image_url
Beer 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Beer_0_2.png
Fried Egg 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fried_Egg_0_7.png
Dagger 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Dagger_0_2.png
Thor Hammer 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Thor_Hammer_0_2.png
Bishop 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bishop_0_7.png
Cactus 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cactus_0_2.png
Pearl 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Pearl_0_2.png
Press Hat 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Press_Hat_0_5.png
Chest 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Chest_0_2.png
Hedgehog 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hedgehog_0_2.png
Nigiri 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Nigiri_0_7.png
Viking Shield 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Viking_Shield_0_7.png
Holy Grail 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Holy_Grail_0_7.png
Bug 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bug_0_7.png
Fedora 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fedora_0_7.png
Pineapple 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Pineapple_0_2.png
Baseball Cap 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Baseball_Cap_0_7.png
Cobra 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cobra_0_4.png
Turban 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Turban_0_5.png
Corn 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Corn_0_7.png
Lion Head 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lion_Head_0_2.png
Money Bag 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Money_Bag_0_2.png
Shuriken 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Shuriken_0_7.png
All-Seeing Eye 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/All-Seeing_Eye_0_5.png
Bobby Helmet 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bobby_Helmet_0_4.png
Tree of Life 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Tree_of_Life_0_4.png
Shark Knife 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Shark_Knife_0_7.png
Plume Shako 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Plume_Shako_0_2.png
Fleur-de-lis 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fleur-de-lis_0_4.png
Ramen 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Ramen_0_4.png
Worker Ant 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Worker_Ant_0_2.png
Car 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Car_0_2.png
UFO 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/UFO_0_2.png
Leprechaun 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Leprechaun_0_2.png
Wreath 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Wreath_0_2.png
Mafdet 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mafdet_0_2.png
Manta Ray 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Manta_Ray_0_2.png
Tie 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Tie_0_8.png
Skull 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Skull_0_2.png
Moon Eagle 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Moon_Eagle_1.png
Owl 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Owl_1.png
Cicada 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cicada_0_8.png
Tribal Shield 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Tribal_Shield_1.png
Yogi Shaman 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Yogi_Shaman_0_5.png
Bell Pepper 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bell_Pepper_0_2.png
Fehu Rune 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fehu_Rune_1.png
Gold 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Gold_0_5.png
Dice 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Dice_1.png
Cobra 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cobra_0_8.png
Sauron 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sauron_0_5.png
The Eye 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/The_Eye_0_8.png
Eagle 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Eagle_1.png
Coconut 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Coconut_0_5.png
Knight 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Knight_1.png
Inguz Rune 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Inguz_Rune_1.png
Trophy 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Trophy_0_8.png
Viking 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Viking_0_2.png
Pyramid 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Pyramid_1.png
Spirit Impala 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Spirit_Impala_1.png
Firebird 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Firebird_0_8.png
